id,name,latitude,longitude,time_zone,reference_point,source
"72","ルアンパバーン","19.88889","102.13333","Asia/Vientiane","世界遺産の登録地点","https://whc.unesco.org/en/list/479/maps/"
"73","バガン","21.1488888889","94.8844444444","Asia/Yangon","世界遺産の登録地点","https://whc.unesco.org/en/list/1588/maps/"
"74","ウマワカ渓谷","-23.19986111","-65.34886111","America/Argentina/Jujuy","世界遺産の登録地点","https://whc.unesco.org/en/list/1116/maps/"
"75","コロニア・デル・サクラメント旧市街","-34.47119","-57.849898","America/Montevideo","世界遺産の登録地点","https://whc.unesco.org/en/list/747/maps/"
"77","アルベロベッロのトゥルッリ","40.7825","17.23694","Europe/Rome","世界遺産の登録地点","https://whc.unesco.org/en/list/787/maps/"
"78","アオラキ・マッケンジー","-43.98555555555556","170.46499999999997","Pacific/Auckland","マウント・ジョン天文台","https://web.astronomicalheritage.net/show-entity?identity=53&idsubentity=1"
"79","ナミブランド自然保護区","-25.20874","16.00977","Africa/Windhoek","ナミブランド保護区","https://mapcarta.com/29631868"
"80","ラ・パルマ島","28.75611111111111","-17.891666666666666","Atlantic/Canary","ロケ・デ・ロス・ムチャーチョス天文台","https://iac.es/en/observatorios-de-canarias/roque-de-los-muchachos-observatory"
"81","エッサウィラ旧市街","31.5141111111","-9.7703055556","Africa/Casablanca","世界遺産の登録地点","https://whc.unesco.org/en/list/753/maps/"
"82","マラケシュ旧市街","31.63139","-7.98667","Africa/Casablanca","世界遺産の登録地点","https://whc.unesco.org/en/list/331/maps/"
"83","シンガポール植物園","1.3152777778","103.8161111111","Asia/Singapore","世界遺産の登録地点","https://whc.unesco.org/en/list/1483/maps/"
"85","ラヴォー地区の葡萄畑","46.4919444444","6.7461111111","Europe/Zurich","世界遺産の登録地点","https://whc.unesco.org/en/list/1243/maps/"
"86","コトルの自然・文化歴史地域","42.48333","18.7","Europe/Podgorica","世界遺産の登録地点","https://whc.unesco.org/en/list/125/maps/"
"88","ヴァルパライソ港湾都市歴史地区","-33.04063889","-71.628","America/Santiago","世界遺産の登録地点","https://whc.unesco.org/en/list/959/maps/"
"89","カルタヘナ港・要塞・歴史地区","10.41666667","-75.53333333","America/Bogota","世界遺産の登録地点","https://whc.unesco.org/en/list/285/maps/"
"90","アンティグア・グアテマラ","14.556504","-90.73381","America/Guatemala","世界遺産の登録地点","https://whc.unesco.org/en/list/65/maps/"
"92","ルーネンバーグ旧市街","44.37611111","-64.30916667","America/Halifax","世界遺産の登録地点","https://whc.unesco.org/en/list/741/maps/"
"94","チェスキー・クルムロフ歴史地区","48.8106944444","14.3150277778","Europe/Prague","世界遺産の登録地点","https://whc.unesco.org/en/list/617/maps/"
"95","リガ歴史地区","56.95417","24.11667","Europe/Riga","世界遺産の登録地点","https://whc.unesco.org/en/list/852/maps/"
"96","サルヴァドール・デ・バイア歴史地区","-12.972917","-38.512981","America/Bahia","世界遺産の登録地点","https://whc.unesco.org/en/list/309/maps/"
"97","サンタ・クルス・デ・モンポス歴史地区","9.240492","-74.423084","America/Bogota","世界遺産の登録地点","https://whc.unesco.org/en/list/742/maps/"
"98","マチュ・ピチュ","-13.184934","-72.533443","America/Lima","世界遺産の登録地点","https://whc.unesco.org/en/list/274/maps/"
"99","アユタヤ歴史都市","14.34778","100.56056","Asia/Bangkok","世界遺産の登録地点","https://whc.unesco.org/en/list/576/maps/"
"100","ペトラ","30.33056","35.44333","Asia/Amman","世界遺産の登録地点","https://whc.unesco.org/en/list/326/maps/"
"101","キト市街","-0.22","-78.5120833333","America/Guayaquil","世界遺産の登録地点","https://whc.unesco.org/en/list/2/maps/"
"102","蘇州古典園林","31.31666667","120.45","Asia/Shanghai","世界遺産の登録地点","https://whc.unesco.org/en/list/813/maps/"
"103","ザンジバル・ストーンタウン","-6.16306","39.18917","Africa/Dar_es_Salaam","世界遺産の登録地点","https://whc.unesco.org/en/list/173/maps/"
"104","ラリベラの岩窟教会群","12.02935","39.04042","Africa/Addis_Ababa","世界遺産の登録地点","https://whc.unesco.org/en/list/18/maps/"
"105","スケリッグ・マイケル","51.77194","-10.53861","Europe/Dublin","世界遺産の登録地点","https://whc.unesco.org/en/list/757/maps/"
"106","カリフォルニア湾の島々と保護地域","27.62667","-112.54583","America/Hermosillo","世界遺産の登録地点","https://whc.unesco.org/en/list/1182/maps/"
"107","メキシコシティ歴史地区とソチミルコ","19.41833","-99.13278","America/Mexico_City","世界遺産の登録地点","https://whc.unesco.org/en/list/412/maps/"
"108","ジャイプール市街","26.9242777778","75.8218611111","Asia/Kolkata","世界遺産の登録地点","https://whc.unesco.org/en/list/1605/maps/"
"109","アレキパ歴史地区","-16.398353","-71.536777","America/Lima","世界遺産の登録地点","https://whc.unesco.org/en/list/1016/maps/"
"111","ロワール渓谷","47.39889","0.70278","Europe/Paris","世界遺産の登録地点","https://whc.unesco.org/en/list/933/maps/"
"112","ビニャーレス渓谷","22.61667","-83.71667","America/Havana","世界遺産の登録地点","https://whc.unesco.org/en/list/840/maps/"
"113","ハバナ旧市街と要塞群","23.13333333","-82.35","America/Havana","世界遺産の登録地点","https://whc.unesco.org/en/list/204/maps/"
"114","フェルナンド・デ・ノローニャ諸島","-3.857944444","-32.42511111","America/Noronha","世界遺産の登録地点","https://whc.unesco.org/en/list/1000/maps/"
"115","ロス・グラシアレス国立公園","-50","-73.24944","America/Argentina/Rio_Gallegos","世界遺産の登録地点","https://whc.unesco.org/en/list/145/maps/"
"116","ラパ・ヌイ国立公園","-27.074403","-109.365683","Pacific/Easter","世界遺産の登録地点","https://whc.unesco.org/en/list/715/maps/"
"117","ハロン湾・カットバー群島","20.8327777778","107.1611111111","Asia/Ho_Chi_Minh","世界遺産の登録地点","https://whc.unesco.org/en/list/672/maps/"
"118","アンコール","13.43333333","103.8333333","Asia/Phnom_Penh","世界遺産の登録地点","https://whc.unesco.org/en/list/668/maps/"
"119","ペルシャ式庭園","30.1666666667","53.1666666667","Asia/Tehran","世界遺産の登録地点","https://whc.unesco.org/en/list/1372/maps/"
"120","アイット＝ベン＝ハドゥの集落","31.04722","-7.12889","Africa/Casablanca","世界遺産の登録地点","https://whc.unesco.org/en/list/444/maps/"
"121","シアン・カアン","19.38333","-87.79167","America/Cancun","世界遺産の登録地点","https://whc.unesco.org/en/list/410/maps/"
"122","慶州歴史地域","35.78889","129.22667","Asia/Seoul","世界遺産の登録地点","https://whc.unesco.org/en/list/976/maps/"
"123","ワディ・アル＝ヒタン（クジラ渓谷）","29.33333","30.18333","Africa/Cairo","世界遺産の登録地点","https://whc.unesco.org/en/list/1186/maps/"
"124","ベルン旧市街","46.94806","7.45028","Europe/Zurich","世界遺産の登録地点","https://whc.unesco.org/en/list/267/maps/"
"125","サナア旧市街","15.35555556","44.20805556","Asia/Aden","世界遺産の登録地点","https://whc.unesco.org/en/list/385/maps/"
"geiranger","ガイランゲルフィヨルド","62.11666666666667","6.95","Europe/Oslo","世界遺産の登録地点","https://whc.unesco.org/en/list/1195/maps/"
"laurisilva","マデイラの照葉樹林","32.766666666666666","-17","Atlantic/Madeira","世界遺産の登録地点","https://whc.unesco.org/en/list/934/maps/"
"yakushima","屋久島","30.315","130.50861111111112","Asia/Tokyo","世界遺産の登録地点","https://whc.unesco.org/en/list/662/maps/"
"jungfrau","ユングフラウ＝アレッチ","46.5","8.033333333333333","Europe/Zurich","世界遺産の登録地点","https://whc.unesco.org/en/list/1037/maps/"
"tewahipounamu","テ・ワヒポウナム","-45.036027777777775","167.3196111111111","Pacific/Auckland","世界遺産の登録地点","https://whc.unesco.org/en/list/551/maps/"
"plitvice","プリトヴィツェ湖群","44.87778","15.61444","Europe/Zagreb","世界遺産の登録地点","https://whc.unesco.org/en/list/98/maps/"
"rockies","カナディアン・ロッキー自然公園群","51.42472222222222","-116.47972222222222","America/Edmonton","世界遺産の登録地点","https://whc.unesco.org/en/list/304/maps/"
"tasmania","タスマニア原生地域","-43.11847222222222","146.23055555555555","Australia/Hobart","世界遺産の登録地点","https://whc.unesco.org/en/list/181/maps/"
"thingvellir","シンクヴェトリル","64.25380555555556","-21.03725","Atlantic/Reykjavik","世界遺産の登録地点","https://whc.unesco.org/en/list/1152/maps/"
